2;Нужен доступ к сети Ethernet
3;Нужен кабель локальной сети
3;Нужен конектор для ноутбука.
3;Нужна мышь
3;Требуется замена мыши.
2;Создайте новую учетную запись и поделитесь именем пользователя и паролем
3;Включение USB не работает
2;Запрос на создание учетных данных для входа Иванова И.
2;Запрос на создание учетных данных для входа в систему доктора Хасана
2;Проблема с входом в Myspace - Ania
2;Учетные данные для входа в систему не работают
2;Не в состоянии двигаться дальше в меню после входа в систему
2;Для нового участника требуется новая учетная запись
2;Не удается получить доступ к outlook и почте
2;Удаление человека А и Добавление человека Б в проект ABC
2;Исправление имени в почтовом идентификаторе
2;Запрос на настройку системы для совместного использования ее пользователями
2;Не удается подключиться к Интернету с помощью сети Wi-Fi
2;Требуется разрешение Wi-Fi доступ к ноутбуку
2;Требуется Разрешение На Доступ к Wi-Fi
2;Нужны сведения о FTP-сервере abc
2;Локальная сеть не работает в виртуальной машине
2;Нужен Wave rock VPN
2;Создание проекта Jira и разрешение пользователя
2;Публичный IP-адрес для проекта кофейни
2;Необходим доступ к Wi-Fi
2;сервер № 11 завис и нуждется в перезагрузке
2;Виртуальная машина Linux для проекта Azuba
2;Учетные данные для входа не работают, указано неверное имя пользователя или пароль
2;Установите Microsoft outlook
2;Мое приложение для контроля качества пространства не работает
2;Настройте outlook в моей системе
2;Почтовый ящик переполнен
2;Страница входа в систему не отображается
2;Предоставьте мне права администратора для установки базы данных mysql
2;Предоставьте мне права администратора для установки базы данных mysql
2;Установите базу данных postgres на моей машине
3;Система показывает синий экран при запуске
2;Не удалось установить outlook, он запрашивает необходимый доступ администратора
2;Рабочий стол не работает
2;Система ведет себя странно, посередине появляется синий экран
3;Мой интернет не работает
2;Измените статус заявки на Статус Изменен
2;Учетная запись заблокирована из-за 3 неправильных попыток ввода пароля ОС. Не могли бы вы сбросить пароль
3;Система зависает с синим экраном при запуске
3;Не удается подключиться к Wi-Fi
3;Не удается подключиться к Интернету
3;Проблема с сетью/интернетом с Wi-Fi
3;Замените батарею для моего ноутбука Macbook
2;Ошибка Импорта файла
2;Ошибка Импорта файла
2;Ошибка Импорта файла в excel
2;Ошибка Импорта файла
3;Компьютер не включается
2;Создание почтового идентификатора для нового участника
2;Добавьте Нового Сотрудника
2;Забыл пароль, не могли бы вы, пожалуйста, сбросить пароль для меня
2;Срок действия пароля на почту Истек
2;Страница Входа в Систему не работает
2;установка MS office
2;Страница входа не открывается
2;Срок действия пароля истек
2;Учетная запись заблокирована. Не удалось войти в систему